Letter,Scribe,Year,Destination,WordCount
142,Pinson F.,1813,ALVERINGEM,329
143,Jossens F.,1813,OOSTENDE,270
144,Pauwels J.B.,1799,WOUMEN,315
145,Pauwels J.B.,1799,WOUMEN,337
146,Spotbein P.,1800,WOUMEN,271
147,Savers J.M.,1806,ST-JAN,176
148,De Vos H.,1806,KORTEMARK,812
149,Pierloot F.,1807,ICHTEGEM,368
150,Verstraete J. F.,1807,BRUGGE,276
151,Pierloot F.,1808,ICHTEGEM,230
152,Jonckheer P.,1808,EERNEGEM,531
153,Calens J.,1808,HARELBEKE,271
154,Lazoe J.,1808,VICHTE,830
155,Van Den Borre P.,1808,HULSTE,200
156,Plancquuel P.J.,1808,GELUVELD,385
157,Vercruijsse L.,1809,OOSTROOZEBEKE,627
158,Dekmin U.,1810,RUMBEKE,212
159,Favere J.,1810,MOEN,235
160,Kule H.J.,1810,KEIEM,324
161,Hoorelbeke P.J.,1811,LANGEMARK,283
162,Goethals J.,1811,WINGENE,299
163,De Mersseman J.F.,1812,ROESBRUGGE-HARINGE,637
164,De Meire A.,1812,ZWEVEGEM,212
165,Wittenzale C.,1813,AARTRIJKE,356
166,Vesscher P.J.D.,1813,KEIEM,228
167,Vercruijsse F.,1813,KORTRIJK,337
168,Ponzeele P.F.,1813,BELLEGEM,315
169,De Klierk J.B.,1813,BISSEGEM,203
170,Van Den Brockke J.,NA,OOSTKAMP,259
171,Kesteloot F.,NA,GELUVELD,261
172,Peiren C.,1800,BEERST,220
173,Moureije E.,1801,MERKEM,401
174,Gouwij J.,1804,HOOGLEDE,472
175,Oorreel A.J.,1805,WOUMEN,359
176,Druwe F.,1805,KAASKERKE,494
177,Dehouck E.,1805,LOO,450
178,Barts A.,1806,DIKSMUIDEN,678
179,Druwe F.,1806,KAASKERKE,383
180,Jede C.,1806,BRUGGE,343
181,Van Vlaenderen S.,1806,OEDELEM,208
182,Kesteloot,1806,GELUVELD,484
183,Bekeman C.,1806,BRUGGE,243
184,Horeel A.,1806,WOUMEN,271
185,Kestelot F.,1806,GELUVELD,393
186,Druwe F.,1806,KAASKERKE,368
187,Vergrat F.,1806,BRUGGE,372
188,Provoost B.,1806,DAMME,347
189,Vermeesch J.,1806,NIEUWKAPELLE,293
190,Van Den Brokke J.,1806,BRUGGE,72
191,Vermeesch J.,1806,MANNEKENSVERE,345
192,Vermeesch J.,1806,MANNEKENSVERE,589
193,Vermeesch J.,1806,NIEUWKAPELLE,183
194,Persijn P.J.,1806,MEENEN,231
195,Vermeesch J.,1806,MANNEKENSVERE,467
196,De Wachter F.,1807,ICHTEGEM,237
197,Clarijsse E.,1807,DEERLIJK,512
198,Pierloot F.,1807,ICHTEGEM,327
199,Soens F.,1808,PITTEM,491
200,Van De Voorde P.,1809,ANSEGEM,404
201,Plaet P.,1811,VOORMEZELE,261
202,Maddens B.,1811,RUMBEKE,349
203,Puppe P.A.,1811,WERVIK,184
204,Leplae P.J.,1811,VOORMEZELE,254
205,Toege P.D.,1811,ZWEVEGEM,309
206,Van De Velde P.,1812,DEERLIJK,255
207,De Clerck J.,1813,WATTOU,252
208,De Coene P.J.,1801,LANGEMARK,247
209,Marke J.,1806,IEPER,284
210,Van Der Henst P.,1809,KOOLKERKE,199
211,De Gree J.,1810,ZARREN,183
212,Van De Waeter L.,1810,KOOLSKAMP,187
213,Couset C.L.,1812,KLERKEN,460
214,Rodolf A.,1813,NIEUWPOORT,161
215,Van Den Hemel M.,1813,MEULEBEKE,154
216,Van Den Heede J.B.,1813,KANEGEM,279
217,Van Der Driessche A.,1813,KORTRIJK,285
218,Castelijn Ch. L.,1813,DENTERGEM,341
219,Daene B.,1813,GULLEGEM,509
220,De Smet J.A.,1813,IZEGEM,376
221,Malfait F.,1813,KORTRIJK,217
222,Van De Wiele J.,1813,MARKE,670
223,Holvoet B.,1813,HEULE,312
224,Tuittens P.,1813,HEULE,523
225,Spotpen P.,NA,WOUMEN,214
226,Rijs P.,NA,OOSTKAMP,300
227,De Brunne C.,1801,VLADSLOO,217
228,Caeetaen P.,1801,ONBEKEND,178
229,Van Egroo F.,NA,LOO,322
230,Van Den Briele J.,1807,KNOKKE,322
231,Samijn L.,1807,LANGEMARK,234
232,Van Den Briele J.,1807,KNOKKE,435
233,Anon6,1807,LANGEMARK,222
234,Placest F.,1807,KOOIGEM,285
235,Anon7,1807,LANGEMARK,231
236,Samijn L.,1807,LANGEMARK,174
237,Samijn L.,1807,LANGEMARK,251
238,Samijn L.,1808,LANGEMARK,286
239,Samijn L.,1808,LANGEMARK,178
240,Houtekeer N.,1808,TIELT,218
241,Planckeel P.J.,1808,GELUVELD,399
242,Vallaeijs J.,1808,KLERKEN,363
243,Van Den Briele J.,1808,KNOKKE,684
244,Scherrens P.,1808,WINGENE,764
245,Houtekeer N.,1808,TIELT,369
246,Godaert L.J.,1808,BRUGGE,414
247,De Smet F.,1808,OOSTROOZEBEKE,381
248,Scherrens P.,1808,WINGENE,726
249,Ofsee P.,1808,MOEN,441
250,Igodt C.L.J.,1809,ONBEKEND,783
251,Danneels P.J.,1809,ONBEKEND,496
252,Plancquel P.J.,1809,GELUVELD,334
253,De Klerck F.,1809,ARDOOIE,535
254,Donse F.,1810,IEPER,95
255,Farasin I.,1810,ROESELARE,297
256,Brij J.,1810,AALBEKE,237
257,Plancquel P.J.,1810,GELUVELD,285
258,Verfaillie P.,1810,LOO,337
259,De Smet L.,1810,WAARMAARDE,522
260,Loontjens J.B.,1810,TIELT,464
261,Anon8,1810,RUMBEKE,212
262,Rooze P.,1810,ONBEKEND,261
263,De Meulemeestre J.B.,1810,DENTERGEM,390
264,Polefit F.,1810,AARTRIJKE,450
265,Lanoeije P.,1811,POLLINKHOVE,171
266,Van De Casteele C.,1811,KOEKELARE,247
267,Coucke P.J.,1811,ZWEVEGEM,870
268,Dejonge P.,1811,AARTRIJKE,475
269,Mortier F.,1811,TIELT,278
270,Van Hecke B.,1811,BRUGGE,443
271,De Cam P.,1811,MOORSLEDE,462
272,De Lij J.,1811,ARDOOIE,402
273,Sijes F.,1811,ARDOOIE,419
274,Cool C.,1811,ONBEKEND,264
275,Verhoeije L.,1811,RUDDERVOORDE,296
276,Koopman P.,1811,OOSTROOZEBEKE,451
277,Vanderstraete I.,1811,KANEGEM,263
278,Anon9,NA,PITTEM,315
279,Nierring K.,1811,OEDELEM,275
280,Dobbels J.,1811,WAKKEN,249
281,Dobbels J.,NA,WAKKEN,356
282,Perremantier,1812,IZEGEM,291
283,Maes J.,1801,AARSELE,354
284,Dalle J.,1813,MOERKERKE,415
285,Geevaert L.,NA,ZWEVEZELE,265
286,De Smet J.,NA,GULLEGEM,273
287,Pauwels J.B.,1800,WOUMEN,385
288,Willems J.,1800,KLEMSKERKE,209
289,Pauwels J.B.,1801,WOUMEN,242
290,Buen F.,1801,SLIJPE,524
291,Anon10,1801,ONBEKEND,414
292,De Vos P.,1802,WOUMEN,341
293,Thieren P.,1804,NIEUWPOORT,636
294,De Cuiper F.,1806,ZWEVEGEM,148
295,Vandenberghe F.,1806,WESTVLETEREN,178
296,Gevaert L.,1806,ZWEVEZELE,321
297,Anon11,1806,EESEN,134
298,Annoot J.,1800,POPERINGE,300
299,Vandergatte L.,1806,EESEN,266
300,Van Coillie M.,1806,MEENEN,264
301,Van Coillie M.,1806,MEENEN,230
302,Vandermeersch J.,1806,IEPER,172
303,Wost P.,1807,IEPER,297
304,De Dievel F.,1808,KOOIGEM,179
305,Verbeke B.,1808,OOSTKAMP,700
306,Daman E.,1808,ZULTE,581
307,Landerij E.A.,1809,ELVERDINGE,406
308,Van Dijcke Ch.,1812,BEKEGEM,397
309,Verbant P.,1812,OOSTDUINKERKE,140
310,Broucke H.,1813,EERNEGEM,193
311,Balijul J.,1806,BRUGGE,404
312,Beijaert B.,1807,MOERKERKE,271
313,Lauuevers,1808,MEULEBEKE,428
314,Titeca F.,1808,TORHOUT,649
315,Gaermink J.B.,1810,AVELGEM,418
316,Beert E.,1813,KORTRIJK,247
317,De Clercq P.F.,1813,MOEN,455
