ID;OWNER_AGE;OWNER_SEX;NEIGHBORHOOD;BREED;BIRTHYEAR;SEX;COLOR
64718;51-60;m;11;Mischling klein;2004;w;weiss/braun
64727;51-60;m;8;Border Collie;2003;m;schwarz/weiss
65665;61-70;w;8;Mops;2002;m;beige
65665;61-70;w;8;Mops;2002;m;schwarz
65681;51-60;m;2;Italienisches Windspiel;2011;m;blau
65713;61-70;w;2;Lagotto Romagnolo;2005;w;braun
65732;51-60;m;7;Holländischer Schäfer;2009;m;gestromt
65758;51-60;w;7;Welsh Springer Spaniel;2002;w;rot/weiss
65758;51-60;w;7;Yorkshire Terrier;2007;m;black/tan
65940;41-50;w;8;Berner Sennenhund;2010;w;tricolor
65975;61-70;w;7;Labrador Retriever;2002;w;braun
65975;61-70;w;7;Labrador Retriever;2006;m;schwarz
65981;51-60;w;6;Labrador Retriever;2013;m;gelb
66144;51-60;m;5;Deutsche Dogge;2013;w;gelb
66144;51-60;m;5;Labrador Retriever;2006;m;braun
66151;51-60;m;11;Deutscher Schäfer;2008;w;schwarz/braun/weiss
66266;61-70;m;9;Mischling klein;2006;w;tricolor
66298;41-50;m;6;Magyar Viszla;2010;m;gelb
66515;61-70;m;8;Labrador Retriever;2007;w;braun
66515;61-70;m;8;Labrador Retriever;2011;w;braun
66702;61-70;w;6;Zwergpudel;2008;w;apricot
66757;51-60;w;1;Mischling gross;2012;m;braun/beige
66869;51-60;w;2;Havaneser;2015;m;braun/rot
66898;41-50;m;7;Coton de Tulear;2010;m;weiss
66913;51-60;m;8;Hovawart;2004;w;blondfarben
66913;51-60;m;8;Hovawart;2012;w;schwarz
67001;51-60;w;3;Mops;2013;m;beige
67018;71-80;w;6;Labrador Retriever;2012;m;beige
67125;51-60;m;7;Golden Retriever;2001;m;golden
67135;31-40;m;6;Jack Russel Terrier;2010;w;tricolor
67180;51-60;w;1;English Cocker Spaniel;2004;w;blauschimmel
67220;61-70;m;6;Mischling klein;2010;m;braun
67272;31-40;w;3;Beagle;2017;w;tricolor
67308;41-50;w;11;Shih Tzu;2012;w;braun/weiss
70076;31-40;m;9;Labrador Retriever;2009;m;braun
70115;41-50;w;4;Mischling gross;2016;m;schwarz/weiss
70176;41-50;w;4;Mischling gross;2012;w;weiss
70287;51-60;m;2;Hirtenhund;2006;m;weiss/grau
70296;51-60;w;7;Pinscher;2009;m;hellbraun
70296;51-60;w;7;Mischling klein;2010;w;weiss/beige
70577;51-60;w;3;Mischling klein;2003;w;schwarz
70788;31-40;m;7;Mops;2014;w;braun
70793;71-80;m;11;Soft Coated Wheaten Terrier;2012;m;beige
71024;61-70;w;7;Lagotto Romagnolo;2012;w;bianco-aranico
71119;51-60;w;11;Chihuahua;2010;m;black/tan
71119;51-60;w;11;Prager Rattler;2010;w;black/tan
71119;51-60;w;11;Zwergpinscher;2003;w;black/tan
71142;51-60;w;7;Canaan Dog;2008;m;schwarz
71555;61-70;m;7;Mischling klein;2009;m;schwarz schimmel
71670;61-70;m;7;Deutscher Schäfer;2012;w;braun
